BowlingTeam,BattingTeam,Innings,Over,Bowler,Batter,Event,Over_Num,Phase,IsDot,IsExtra,EstimatedRuns,MatchDate,Venue
Nepal,Scotland,1,15.5,Kushal Malla,Tomas Mackintosh,no run,15,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,15.6,Kushal Malla,Tomas Mackintosh,1 run,15,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,16.1,Sandeep Lamichhane,Tomas Mackintosh,OUT,16,Middle,False,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,16.2,Sandeep Lamichhane,Chris Greaves,1 run,16,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,16.3,Sandeep Lamichhane,Brandon McMullen,no run,16,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,16.4,Sandeep Lamichhane,Brandon McMullen,1 wide,16,Middle,False,True,1,2023-02-17,Kirtipur
Nepal,Scotland,1,16.4,Sandeep Lamichhane,Brandon McMullen,no run,16,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,16.5,Sandeep Lamichhane,Brandon McMullen,1 run,16,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,16.6,Sandeep Lamichhane,Chris Greaves,no run,16,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,17.1,Kushal Bhurtel,Brandon McMullen,1 run,17,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,17.2,Kushal Bhurtel,Chris Greaves,1 run,17,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,17.3,Kushal Bhurtel,Brandon McMullen,1 leg bye,17,Middle,False,True,1,2023-02-17,Kirtipur
Nepal,Scotland,1,17.4,Kushal Bhurtel,Chris Greaves,1 run,17,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,17.5,Kushal Bhurtel,Brandon McMullen,no run,17,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,17.6,Kushal Bhurtel,Brandon McMullen,1 run,17,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,18.1,Sandeep Lamichhane,Brandon McMullen,no run,18,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,18.2,Sandeep Lamichhane,Brandon McMullen,1 run,18,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,18.3,Sandeep Lamichhane,Chris Greaves,no run,18,Middle,True,False,0,2023-02-17,Kirtipur
Nepal,Scotland,1,18.4,Sandeep Lamichhane,Chris Greaves,4 leg byes,18,Middle,False,True,4,2023-02-17,Kirtipur
Nepal,Scotland,1,18.5,Sandeep Lamichhane,Chris Greaves,1 run,18,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,18.6,Sandeep Lamichhane,Brandon McMullen,1 run,18,Middle,False,False,1,2023-02-17,Kirtipur
Nepal,Scotland,1,19.1,Kushal Bhurtel,Brandon McMullen,3 byes,19,Middle,False,True,3,2023-02-17,Kirtipur
